,red,blue,green,scaled_red,scaled_blue,scaled_green
466,116,221,201,1.558326,2.648087,2.820005
467,96,190,171,1.289649,2.276636,2.399109
468,64,143,125,0.859766,1.713468,1.753734
469,41,108,94,0.550788,1.294088,1.318808
470,15,76,65,0.201508,0.910655,0.911942
471,32,91,78,0.429883,1.090389,1.09433
472,67,122,104,0.900068,1.46184,1.459107
473,0,52,28,0.0,0.623079,0.392837
474,31,90,62,0.416449,1.078407,0.869852
475,99,172,143,1.329951,2.060955,2.006272
476,84,172,144,1.128443,2.060955,2.020302
477,65,167,134,0.8732,2.001043,1.880003
478,119,234,194,1.598628,2.803857,2.721796
479,101,236,187,1.356819,2.827822,2.623587
480,100,253,201,1.343385,3.031521,2.820005
481,91,255,205,1.22248,3.055486,2.876124
482,82,241,197,1.101575,2.887733,2.763885
483,82,248,196,1.101575,2.971609,2.749856
484,84,255,194,1.128443,3.055486,2.721796
485,84,255,193,1.128443,3.055486,2.707766
486,84,253,194,1.128443,3.031521,2.721796
487,84,244,196,1.128443,2.92368,2.749856
488,82,239,198,1.101575,2.863769,2.777915
489,81,237,199,1.088142,2.839804,2.791945
490,84,244,201,1.128443,2.92368,2.820005
491,81,235,192,1.088142,2.81584,2.693736
492,108,241,206,1.450856,2.887733,2.890154
493,106,197,177,1.423988,2.360512,2.483288
494,0,15,9,0.0,0.179734,0.126269
495,18,0,0,0.241809,0.0,0.0
496,105,29,29,1.410554,0.347487,0.406866
497,192,88,86,2.579299,1.054442,1.206569
498,218,64,71,2.928579,0.766867,0.996121
499,214,68,72,2.874843,0.814796,1.010151
500,212,70,73,2.847976,0.838761,1.024181
501,215,70,71,2.888277,0.838761,0.996121
502,219,68,69,2.942013,0.814796,0.968061
503,221,66,69,2.96888,0.790832,0.968061
504,221,68,69,2.96888,0.814796,0.968061
505,222,71,67,2.982314,0.850743,0.940002
506,218,66,62,2.928579,0.790832,0.869852
507,222,69,70,2.982314,0.826778,0.982091
508,209,58,66,2.807674,0.694973,0.925972
509,207,57,66,2.780806,0.682991,0.925972
510,218,68,73,2.928579,0.814796,1.024181
511,222,69,73,2.982314,0.826778,1.024181
512,215,59,66,2.888277,0.706955,0.925972
513,216,61,72,2.901711,0.73092,1.010151
514,206,61,74,2.767373,0.73092,1.038211
515,209,61,73,2.807674,0.73092,1.024181
516,212,61,71,2.847976,0.73092,0.996121
517,214,62,70,2.874843,0.742902,0.982091
518,217,64,68,2.915145,0.766867,0.954032
519,217,68,67,2.915145,0.814796,0.940002
520,216,71,67,2.901711,0.850743,0.940002
521,214,73,67,2.874843,0.874708,0.940002
522,219,77,74,2.942013,0.922637,1.038211
523,208,64,64,2.79424,0.766867,0.897912
524,208,62,62,2.79424,0.742902,0.869852
525,222,74,74,2.982314,0.88669,1.038211
526,217,67,64,2.915145,0.802814,0.897912
527,222,75,67,2.982314,0.898672,0.940002
528,221,78,65,2.96888,0.934619,0.911942
529,219,77,63,2.942013,0.922637,0.883882
530,216,69,73,2.901711,0.826778,1.024181
531,221,66,69,2.96888,0.790832,0.968061
532,220,67,68,2.955446,0.802814,0.954032
533,213,72,70,2.861409,0.862725,0.982091
534,213,74,70,2.861409,0.88669,0.982091
535,221,65,67,2.96888,0.778849,0.940002
536,223,63,68,2.995748,0.754885,0.954032
537,201,74,79,2.700203,0.88669,1.10836
538,141,74,76,1.894172,0.88669,1.066271
539,22,0,0,0.295545,0.0,0.0
540,0,12,0,0.0,0.143788,0.0
541,31,86,68,0.416449,1.030477,0.954032
